,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url
60798,갈매기집,한식,한식/백반/한정식,한식 음식점업,명동,37.56693304,126.9814951,갈매기집 한식 한식 백반 한정식 한식 음식점업,명동%20갈매기집,https://m.place.naver.com/restaurant/38521930
61766,맥도날드,패스트푸드,패스트푸드,그외 기타 음식점업,명동,37.5605445,126.9846155,맥도날드 패스트푸드 패스트푸드 그외 기타 음식점업,명동%20맥도날드,https://m.place.naver.com/restaurant/18688435
62171,홍도참치,일식/수산물,참치전문점,일식 음식점업,명동,37.56745965,126.9830048,홍도참치 일식 수산물 참치전문점 일식 음식점업,명동%20홍도참치,https://m.place.naver.com/restaurant/18670123
62536,이구갈비,한식,갈비/삼겹살,한식 음식점업,명동,37.56714088,126.978436,이구갈비 한식 갈비 삼겹살 한식 음식점업,명동%20이구갈비,https://m.place.naver.com/restaurant/1339985757
62714,을지곱창,한식,곱창/양구이전문,한식 음식점업,명동,37.56682501,126.988843,을지곱창 한식 곱창 양구이전문 한식 음식점업,명동%20을지곱창,https://m.place.naver.com/restaurant/35228622
63043,폴바셋,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56780657,126.9762309,폴바셋 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20폴바셋,https://m.place.naver.com/restaurant/33879733
63135,돈수백,한식,한식/백반/한정식,한식 음식점업,명동,37.56713039,126.9803492,돈수백 한식 한식 백반 한정식 한식 음식점업,명동%20돈수백,https://m.place.naver.com/restaurant/1065393425
63567,청솔,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56734789,126.9836289,청솔 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20청솔,https://m.place.naver.com/restaurant/20827180
63902,엔제리너스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56412263,126.983684,엔제리너스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20엔제리너스,https://m.place.naver.com/restaurant/12785727
63917,에이투지카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56840963,126.9782375,에이투지카페 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20에이투지카페,https://m.place.naver.com/restaurant/33948961
63990,남도미가,양식,정통양식/경양식,서양식 음식점업,명동,37.56821344,126.9816022,남도미가 양식 정통양식 경양식 서양식 음식점업,명동%20남도미가,https://m.place.naver.com/restaurant/1199815526
64006,세종간장게장,한식,한식/백반/한정식,한식 음식점업,명동,37.56143797,126.9879311,세종간장게장 한식 한식 백반 한정식 한식 음식점업,명동%20세종간장게장,https://m.place.naver.com/restaurant/21090789
64056,미정갈비,한식,갈비/삼겹살,한식 음식점업,명동,37.56693612,126.9891925,미정갈비 한식 갈비 삼겹살 한식 음식점업,명동%20미정갈비,https://m.place.naver.com/restaurant/18010360
64066,명동덮밥도시락,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56261932,126.9859456,명동덮밥도시락 분식 라면김밥분식 분식 및 김밥 전문점,명동%20명동덮밥도시락,https://m.place.naver.com/restaurant/34585190
64204,향설주랑,일식/수산물,음식점-일식,일식 음식점업,명동,37.56798401,126.9811186,향설주랑 일식 수산물 음식점-일식 일식 음식점업,명동%20향설주랑,https://m.place.naver.com/restaurant/18001648
64225,그랑블루,양식,기타전문서양음식점,서양식 음식점업,명동,37.56712212,126.9898691,그랑블루 양식 기타전문서양음식점 서양식 음식점업,명동%20그랑블루,https://m.place.naver.com/restaurant/1976054874
64461,태진옥,한식,한식/백반/한정식,한식 음식점업,명동,37.56742105,126.978534,태진옥 한식 한식 백반 한정식 한식 음식점업,명동%20태진옥,https://m.place.naver.com/restaurant/1171330252
64745,카페트리빈,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56715194,126.9870388,카페트리빈 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20카페트리빈,https://m.place.naver.com/restaurant/1583644157
65066,아티제,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56508772,126.9869422,아티제 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20아티제,https://m.place.naver.com/restaurant/19748343
65074,명동함흥냉면,한식,냉면집,한식 음식점업,명동,37.56188987,126.9838955,명동함흥냉면 한식 냉면집 한식 음식점업,명동%20명동함흥냉면,https://m.place.naver.com/restaurant/11477706
65137,101번지남산돈까스,양식,돈가스전문점,서양식 음식점업,명동,37.55694088,126.9857283,101번지남산돈까스 양식 돈가스전문점 서양식 음식점업,명동%20101번지남산돈까스,https://m.place.naver.com/restaurant/12890044
65712,참복집,일식/수산물,음식점-일식,일식 음식점업,명동,37.56841029,126.9762339,참복집 일식 수산물 음식점-일식 일식 음식점업,명동%20참복집,https://m.place.naver.com/restaurant/37547162
65717,해바라기,한식,한식/백반/한정식,한식 음식점업,명동,37.55678549,126.9854701,해바라기 한식 한식 백반 한정식 한식 음식점업,명동%20해바라기,https://m.place.naver.com/restaurant/1212611307
66313,아티제,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56647828,126.9810033,아티제 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20아티제,https://m.place.naver.com/restaurant/19748343
66594,정통삼계탕,닭/오리요리,삼계탕전문,한식 음식점업,명동,37.56743658,126.989763,정통삼계탕 닭 오리요리 삼계탕전문 한식 음식점업,명동%20정통삼계탕,https://m.place.naver.com/restaurant/17909465
66906,녹우,한식,한식/백반/한정식,한식 음식점업,명동,37.55940605,126.9832048,녹우 한식 한식 백반 한정식 한식 음식점업,명동%20녹우,https://m.place.naver.com/restaurant/1042276981
67068,에쎄레젤라또,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56366249,126.9867578,에쎄레젤라또 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20에쎄레젤라또,https://m.place.naver.com/restaurant/36998139
67122,안가,한식,한식/백반/한정식,한식 음식점업,명동,37.56693553,126.9880718,안가 한식 한식 백반 한정식 한식 음식점업,명동%20안가,https://m.place.naver.com/restaurant/1237817685
67169,카페다스티,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.55943667,126.9857171,카페다스티 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20카페다스티,https://m.place.naver.com/restaurant/35494869
67182,약천,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56407608,126.9845563,약천 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20약천,https://m.place.naver.com/restaurant/18036539
67245,박대감닭한마리,한식,한식/백반/한정식,한식 음식점업,명동,37.56471871,126.9838457,박대감닭한마리 한식 한식 백반 한정식 한식 음식점업,명동%20박대감닭한마리,https://m.place.naver.com/restaurant/11724502
67259,카페느티,한식,한식/백반/한정식,한식 음식점업,명동,37.56636417,126.9886908,카페느티 한식 한식 백반 한정식 한식 음식점업,명동%20카페느티,https://m.place.naver.com/restaurant/1327998904
67538,포비아명동,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56325441,126.985405,포비아명동 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20포비아명동,https://m.place.naver.com/restaurant/37629951
67640,구할구,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.55820417,126.9869902,구할구 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20구할구,https://m.place.naver.com/restaurant/1273878741
67820,앤레커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56694744,126.9842117,앤레커피 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20앤레커피,https://m.place.naver.com/restaurant/1620513062
67830,더와플,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56777784,126.9822873,더와플 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20더와플,https://m.place.naver.com/restaurant/1951756019
67854,대한트럭,기타음식업,고속도로휴게소,그외 기타 음식점업,명동,37.56627108,126.9778819,대한트럭 기타음식업 고속도로휴게소 그외 기타 음식점업,명동%20대한트럭,https://m.place.naver.com/restaurant/1428064023
67976,CRAZY,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56712802,126.9811189,CRAZY 분식 라면김밥분식 분식 및 김밥 전문점,명동%20CRAZY,https://m.place.naver.com/restaurant/1916401258
68292,302호,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,명동,37.56661702,126.9887553,302호 유흥주점 빠 카페 스탠드빠 일반유흥 주점업,명동%20302호,https://m.place.naver.com/restaurant/1213855227
68299,서울비어프로젝트,양식,정통양식/경양식,서양식 음식점업,명동,37.56721135,126.989766,서울비어프로젝트 양식 정통양식 경양식 서양식 음식점업,명동%20서울비어프로젝트,https://m.place.naver.com/restaurant/1199130094
68324,나비,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.567064,126.9893945,나비 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20나비,https://m.place.naver.com/restaurant/31314038
68533,펜타워,양식,정통양식/경양식,서양식 음식점업,명동,37.5584072,126.9865007,펜타워 양식 정통양식 경양식 서양식 음식점업,명동%20펜타워,https://m.place.naver.com/restaurant/1257457076
68573,노브랜드버거,패스트푸드,패스트푸드,그외 기타 음식점업,명동,37.56113945,126.985694,노브랜드버거 패스트푸드 패스트푸드 그외 기타 음식점업,명동%20노브랜드버거,https://m.place.naver.com/restaurant/1356174948
68987,노브랜드버거,패스트푸드,패스트푸드,그외 기타 음식점업,명동,37.56739833,126.9790324,노브랜드버거 패스트푸드 패스트푸드 그외 기타 음식점업,명동%20노브랜드버거,https://m.place.naver.com/restaurant/1356174948
69437,다도해물집,일식/수산물,해물찜/탕전문,한식 음식점업,명동,37.56333667,126.9855397,다도해물집 일식 수산물 해물찜 탕전문 한식 음식점업,명동%20다도해물집,https://m.place.naver.com/restaurant/33878633
69494,한일관을지로,한식,한식/백반/한정식,한식 음식점업,명동,37.56694744,126.9842117,한일관을지로 한식 한식 백반 한정식 한식 음식점업,명동%20한일관을지로,https://m.place.naver.com/restaurant/21037772
69667,부스터커피,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,명동,37.56016762,126.9837491,부스터커피 유흥주점 빠 카페 스탠드빠 일반유흥 주점업,명동%20부스터커피,https://m.place.naver.com/restaurant/36683634
70058,플로팅,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,명동,37.56139358,126.9869583,플로팅 유흥주점 빠 카페 스탠드빠 일반유흥 주점업,명동%20플로팅,https://m.place.naver.com/restaurant/1746065215
70277,둘둘치킨명동2호점,닭/오리요리,후라이드/양념치킨,치킨 전문점,명동,37.56468735,126.9843895,둘둘치킨명동2호점 닭 오리요리 후라이드 양념치킨 치킨 전문점,명동%20둘둘치킨명동2호점,https://m.place.naver.com/restaurant/12902230
70478,본우리반상센터원점센터원점,한식,한식/백반/한정식,한식 음식점업,명동,37.56738787,126.9851339,본우리반상센터원점센터원점 한식 한식 백반 한정식 한식 음식점업,명동%20본우리반상센터원점센터원점,https://m.place.naver.com/restaurant/37553772
70811,엔제리너스,한식,한식/백반/한정식,한식 음식점업,명동,37.56809587,126.9794644,엔제리너스 한식 한식 백반 한정식 한식 음식점업,명동%20엔제리너스,https://m.place.naver.com/restaurant/12785727
70848,고시레,한식,한식/백반/한정식,한식 음식점업,명동,37.56201002,126.9884441,고시레 한식 한식 백반 한정식 한식 음식점업,명동%20고시레,https://m.place.naver.com/restaurant/34882604
71160,혜민당,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56647151,126.9885988,혜민당 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20혜민당,https://m.place.naver.com/restaurant/86196000
71168,미커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56067283,126.9869681,미커피 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20미커피,https://m.place.naver.com/restaurant/1319904262
71206,골드바틀센터플레이스점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56713039,126.9803492,골드바틀센터플레이스점 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20골드바틀센터플레이스점,https://m.place.naver.com/restaurant/214309640
71269,서울프린스호텔,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.5606577,126.9862552,서울프린스호텔 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20서울프린스호텔,https://m.place.naver.com/restaurant/11658940
71285,커피앤틱,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.55707709,126.985851,커피앤틱 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20커피앤틱,https://m.place.naver.com/restaurant/21700981
71785,치르치르,한식,한식/백반/한정식,한식 음식점업,명동,37.56471871,126.9838457,치르치르 한식 한식 백반 한정식 한식 음식점업,명동%20치르치르,https://m.place.naver.com/restaurant/37489377
72207,도통사주카페,커피점/카페,사주카페,비알콜 음료점업,명동,37.56193657,126.9840873,도통사주카페 커피점 카페 사주카페 비알콜 음료점업,명동%20도통사주카페,https://m.place.naver.com/restaurant/18039496
72380,영덕회식당,일식/수산물,횟집,한식 음식점업,명동,37.56875433,126.9795459,영덕회식당 일식 수산물 횟집 한식 음식점업,명동%20영덕회식당,https://m.place.naver.com/restaurant/11781767
72575,서원,한식,한식/백반/한정식,한식 음식점업,명동,37.5612631,126.9875034,서원 한식 한식 백반 한정식 한식 음식점업,명동%20서원,https://m.place.naver.com/restaurant/18034663
72715,안동찜닭,닭/오리요리,찜닭전문점,한식 음식점업,명동,37.56366807,126.9853089,안동찜닭 닭 오리요리 찜닭전문점 한식 음식점업,명동%20안동찜닭,https://m.place.naver.com/restaurant/19419201
72812,순남시래기,한식,한식/백반/한정식,한식 음식점업,명동,37.56292437,126.9857944,순남시래기 한식 한식 백반 한정식 한식 음식점업,명동%20순남시래기,https://m.place.naver.com/restaurant/36831343
72828,킹카,유흥주점,룸살롱/단란주점,일반유흥 주점업,명동,37.56788678,126.9802936,킹카 유흥주점 룸살롱 단란주점 일반유흥 주점업,명동%20킹카,https://m.place.naver.com/restaurant/20896623
73305,포메인,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,명동,37.56713677,126.979002,포메인 별식 퓨전요리 동남아음식전문점 기타 외국식 음식점업,명동%20포메인,https://m.place.naver.com/restaurant/17907954
73584,마르셀,양식,기타전문서양음식점,서양식 음식점업,명동,37.56881486,126.9782094,마르셀 양식 기타전문서양음식점 서양식 음식점업,명동%20마르셀,https://m.place.naver.com/restaurant/1735375228
73616,가배도,한식,한식/백반/한정식,한식 음식점업,명동,37.56041276,126.9850135,가배도 한식 한식 백반 한정식 한식 음식점업,명동%20가배도,https://m.place.naver.com/restaurant/1194974888
73648,하이디라오,중식,중국음식/중국집,중식 음식점업,명동,37.56533929,126.9837128,하이디라오 중식 중국음식 중국집 중식 음식점업,명동%20하이디라오,https://m.place.naver.com/restaurant/1501495669
73749,카페드파리,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56254619,126.9837281,카페드파리 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20카페드파리,https://m.place.naver.com/restaurant/38251688
73793,곤트란쉐리에,제과제빵떡케익,제과점,제과점업,명동,37.5679764,126.9781529,곤트란쉐리에 제과제빵떡케익 제과점 제과점업,명동%20곤트란쉐리에,https://m.place.naver.com/restaurant/1126642959
73823,군자대한곱창,한식,곱창/양구이전문,한식 음식점업,명동,37.56458834,126.9844022,군자대한곱창 한식 곱창 양구이전문 한식 음식점업,명동%20군자대한곱창,https://m.place.naver.com/restaurant/1039629174
73825,세광양대창,한식,곱창/양구이전문,한식 음식점업,명동,37.56581002,126.9839667,세광양대창 한식 곱창 양구이전문 한식 음식점업,명동%20세광양대창,https://m.place.naver.com/restaurant/1664785027
73904,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56629791,126.9799417,스타벅스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스,https://m.place.naver.com/restaurant/1465848077
74149,미스터힐링,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56225515,126.9855091,미스터힐링 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20미스터힐링,https://m.place.naver.com/restaurant/37546712
74281,맷차,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56461781,126.9846847,맷차 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20맷차,https://m.place.naver.com/restaurant/1507052049
74882,적당,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56647828,126.9810033,적당 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20적당,https://m.place.naver.com/restaurant/1250997417
74931,레오니다스,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,명동,37.56384352,126.9858045,레오니다스 유흥주점 빠 카페 스탠드빠 일반유흥 주점업,명동%20레오니다스,https://m.place.naver.com/restaurant/12929539
75164,스너그,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,명동,37.56708337,126.9885,스너그 유흥주점 빠 카페 스탠드빠 일반유흥 주점업,명동%20스너그,https://m.place.naver.com/restaurant/1208890227
75445,광화문석갈비,한식,갈비/삼겹살,한식 음식점업,명동,37.56840963,126.9782375,광화문석갈비 한식 갈비 삼겹살 한식 음식점업,명동%20광화문석갈비,https://m.place.naver.com/restaurant/1278021220
75612,두끼떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,명동,37.56231232,126.9858706,두끼떡볶이 분식 떡볶이전문 분식 및 김밥 전문점,명동%20두끼떡볶이,https://m.place.naver.com/restaurant/1020811341
75655,언톨드스위츠,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56322733,126.9822587,언톨드스위츠 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20언톨드스위츠,https://m.place.naver.com/restaurant/1486908254
75884,두부,한식,한식/백반/한정식,한식 음식점업,명동,37.56103904,126.9844956,두부 한식 한식 백반 한정식 한식 음식점업,명동%20두부,https://m.place.naver.com/restaurant/20888940
75944,뜸부기,한식,한식/백반/한정식,한식 음식점업,명동,37.56694339,126.9889886,뜸부기 한식 한식 백반 한정식 한식 음식점업,명동%20뜸부기,https://m.place.naver.com/restaurant/37830327
76122,투썸플레이스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56139358,126.9869583,투썸플레이스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20투썸플레이스,https://m.place.naver.com/restaurant/36948845
76203,금강산,한식,한식/백반/한정식,한식 음식점업,명동,37.56722089,126.9783104,금강산 한식 한식 백반 한정식 한식 음식점업,명동%20금강산,https://m.place.naver.com/restaurant/11486768
76261,두끼,한식,한식/백반/한정식,한식 음식점업,명동,37.56340378,126.9828675,두끼 한식 한식 백반 한정식 한식 음식점업,명동%20두끼,https://m.place.naver.com/restaurant/1020811341
76309,포동이네집,한식,한식/백반/한정식,한식 음식점업,명동,37.55845384,126.9845873,포동이네집 한식 한식 백반 한정식 한식 음식점업,명동%20포동이네집,https://m.place.naver.com/restaurant/20834742
76334,보스,유흥주점,룸살롱/단란주점,일반유흥 주점업,명동,37.56188796,126.9899738,보스 유흥주점 룸살롱 단란주점 일반유흥 주점업,명동%20보스,https://m.place.naver.com/restaurant/1006162445
76589,바니,양식,정통양식/경양식,서양식 음식점업,명동,37.56781381,126.9812341,바니 양식 정통양식 경양식 서양식 음식점업,명동%20바니,https://m.place.naver.com/restaurant/18001446
76608,CGV,패스트푸드,패스트푸드,그외 기타 음식점업,명동,37.56340378,126.9828675,CGV 패스트푸드 패스트푸드 그외 기타 음식점업,명동%20CGV,https://m.place.naver.com/restaurant/12125217
76679,비스트로74,양식,정통양식/경양식,서양식 음식점업,명동,37.56366249,126.9867578,비스트로74 양식 정통양식 경양식 서양식 음식점업,명동%20비스트로74,https://m.place.naver.com/restaurant/35781578
76845,명동빈대떡,한식,파전전문,한식 음식점업,명동,37.55930163,126.9857303,명동빈대떡 한식 파전전문 한식 음식점업,명동%20명동빈대떡,https://m.place.naver.com/restaurant/189422017
76860,고향칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,명동,37.5670888,126.9891338,고향칼국수 분식 국수 만두 칼국수 분식 및 김밥 전문점,명동%20고향칼국수,https://m.place.naver.com/restaurant/1271927601
77181,사랑채,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56715194,126.9870388,사랑채 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20사랑채,https://m.place.naver.com/restaurant/1267409685
77194,커피팟,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56769698,126.9907103,커피팟 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20커피팟,https://m.place.naver.com/restaurant/20892592
77522,한우삼겹,한식,갈비/삼겹살,한식 음식점업,명동,37.56220675,126.9840723,한우삼겹 한식 갈비 삼겹살 한식 음식점업,명동%20한우삼겹,https://m.place.naver.com/restaurant/975294583
77984,삼호정,한식,한식/백반/한정식,한식 음식점업,명동,37.5596947,126.9842875,삼호정 한식 한식 백반 한정식 한식 음식점업,명동%20삼호정,https://m.place.naver.com/restaurant/11726707
78442,강남교자센터원점,한식,한식/백반/한정식,한식 음식점업,명동,37.56738787,126.9851339,강남교자센터원점 한식 한식 백반 한정식 한식 음식점업,명동%20강남교자센터원점,https://m.place.naver.com/restaurant/33963834
78875,남도한식,한식,한식/백반/한정식,한식 음식점업,명동,37.56587666,126.9864788,남도한식 한식 한식 백반 한정식 한식 음식점업,명동%20남도한식,https://m.place.naver.com/restaurant/37069135
78900,커피밀,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56663339,126.9885626,커피밀 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20커피밀,https://m.place.naver.com/restaurant/37471212
78951,유가네닭갈비,닭/오리요리,닭갈비전문,한식 음식점업,명동,37.5632739,126.9834805,유가네닭갈비 닭 오리요리 닭갈비전문 한식 음식점업,명동%20유가네닭갈비,https://m.place.naver.com/restaurant/33706202
78952,참치공방,일식/수산물,참치전문점,일식 음식점업,명동,37.56717125,126.9829974,참치공방 일식 수산물 참치전문점 일식 음식점업,명동%20참치공방,https://m.place.naver.com/restaurant/502703190
78967,마마스찬,한식,한식/백반/한정식,한식 음식점업,명동,37.56599699,126.9868507,마마스찬 한식 한식 백반 한정식 한식 음식점업,명동%20마마스찬,https://m.place.naver.com/restaurant/1844148852
79019,빌리엔젤,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.5644626,126.9844491,빌리엔젤 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20빌리엔젤,https://m.place.naver.com/restaurant/1208325435
79121,동심,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.55921928,126.9855842,동심 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20동심,https://m.place.naver.com/restaurant/1833453021
79205,매머드커피장교빌딩점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56715194,126.9870388,매머드커피장교빌딩점 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20매머드커피장교빌딩점,https://m.place.naver.com/restaurant/1962216707
79280,빽다방명동중앙우체,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56242189,126.9818508,빽다방명동중앙우체 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20빽다방명동중앙우체,https://m.place.naver.com/restaurant/38232320
79401,bird,한식,한식/백반/한정식,한식 음식점업,명동,37.55911035,126.9844426,bird 한식 한식 백반 한정식 한식 음식점업,명동%20bird,https://m.place.naver.com/restaurant/1694673138
80116,오븐에빠진닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,명동,37.56471871,126.9838457,오븐에빠진닭 닭 오리요리 후라이드 양념치킨 치킨 전문점,명동%20오븐에빠진닭,https://m.place.naver.com/restaurant/19459625
80317,다동골뱅이치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,명동,37.56685108,126.9813944,다동골뱅이치킨 닭 오리요리 후라이드 양념치킨 치킨 전문점,명동%20다동골뱅이치킨,https://m.place.naver.com/restaurant/11663452
80419,쿠우쿠우,부페,종합부페,,명동,37.56413724,126.9853817,쿠우쿠우 부페 종합부페 ,명동%20쿠우쿠우,https://m.place.naver.com/restaurant/32315856
80468,커피빈,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56686688,126.9832279,커피빈 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20커피빈,https://m.place.naver.com/restaurant/37408454
80667,카페아이엠티,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56570325,126.9862208,카페아이엠티 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20카페아이엠티,https://m.place.naver.com/restaurant/1414844941
80931,루프트커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56209818,126.9892691,루프트커피 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20루프트커피,https://m.place.naver.com/restaurant/152660082
81013,더스팟패뷸러스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56213759,126.9823188,더스팟패뷸러스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20더스팟패뷸러스,https://m.place.naver.com/restaurant/181633326
81088,9테이블,한식,한식/백반/한정식,한식 음식점업,명동,37.56587666,126.9864788,9테이블 한식 한식 백반 한정식 한식 음식점업,명동%209테이블,https://m.place.naver.com/restaurant/1838134780
81089,한일관,한식,한식/백반/한정식,한식 음식점업,명동,37.56738787,126.9851339,한일관 한식 한식 백반 한정식 한식 음식점업,명동%20한일관,https://m.place.naver.com/restaurant/21037772
81096,방방짬뽕,중식,중국음식/중국집,중식 음식점업,명동,37.56647389,126.9794525,방방짬뽕 중식 중국음식 중국집 중식 음식점업,명동%20방방짬뽕,https://m.place.naver.com/restaurant/1750114893
81120,신세계떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,명동,37.56434124,126.9850054,신세계떡볶이 분식 떡볶이전문 분식 및 김밥 전문점,명동%20신세계떡볶이,https://m.place.naver.com/restaurant/1192169754
81172,하나골뱅이북어구이전문점,유흥주점,호프/맥주,기타 주점업,명동,37.56729325,126.9835617,하나골뱅이북어구이전문점 유흥주점 호프 맥주 기타 주점업,명동%20하나골뱅이북어구이전문점,https://m.place.naver.com/restaurant/31658524
81421,밥먹는술집광장,유흥주점,기타일반유흥주점,일반유흥 주점업,명동,37.56691162,126.9894871,밥먹는술집광장 유흥주점 기타일반유흥주점 일반유흥 주점업,명동%20밥먹는술집광장,https://m.place.naver.com/restaurant/1706662579
81435,넥스트스테이션,양식,기타전문서양음식점,서양식 음식점업,명동,37.56266282,126.9836699,넥스트스테이션 양식 기타전문서양음식점 서양식 음식점업,명동%20넥스트스테이션,https://m.place.naver.com/restaurant/731507924
81514,잘차려진바다,일식/수산물,낙지/오징어,한식 음식점업,명동,37.56680239,126.9820176,잘차려진바다 일식 수산물 낙지 오징어 한식 음식점업,명동%20잘차려진바다,https://m.place.naver.com/restaurant/1025442525
81549,참맛순대국,별식/퓨전요리,순대전문점,한식 음식점업,명동,37.5676216,126.9798444,참맛순대국 별식 퓨전요리 순대전문점 한식 음식점업,명동%20참맛순대국,https://m.place.naver.com/restaurant/37821968
82322,뚜레쥬르,제과제빵떡케익,제과점,제과점업,명동,37.56678246,126.9797087,뚜레쥬르 제과제빵떡케익 제과점 제과점업,명동%20뚜레쥬르,https://m.place.naver.com/restaurant/18034702
82428,명동숙희,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,명동,37.56355454,126.9857292,명동숙희 유흥주점 빠 카페 스탠드빠 일반유흥 주점업,명동%20명동숙희,https://m.place.naver.com/restaurant/1118332002
