,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url
45072,창고43,한식,기타고기요리,한식 음식점업,명동,37.56762308,126.9789728,창고43 한식 기타고기요리 한식 음식점업,명동%20창고43,https://m.place.naver.com/restaurant/31243503
45086,유가네닭갈비,닭/오리요리,닭갈비전문,한식 음식점업,명동,37.56196231,126.9860338,유가네닭갈비 닭 오리요리 닭갈비전문 한식 음식점업,명동%20유가네닭갈비,https://m.place.naver.com/restaurant/33706202
45109,카페아이엠티,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.5671398,126.9793529,카페아이엠티 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20카페아이엠티,https://m.place.naver.com/restaurant/1414844941
45339,신한카드,한식,한식/백반/한정식,한식 음식점업,명동,37.56563848,126.9881233,신한카드 한식 한식 백반 한정식 한식 음식점업,명동%20신한카드,https://m.place.naver.com/restaurant/1938849542
45350,델리만쥬,한식,한식/백반/한정식,한식 음식점업,명동,37.56084823,126.9853584,델리만쥬 한식 한식 백반 한정식 한식 음식점업,명동%20델리만쥬,https://m.place.naver.com/restaurant/37021284
45420,르빵LEPAIN,양식,정통양식/경양식,서양식 음식점업,명동,37.56366249,126.9867578,르빵LEPAIN 양식 정통양식 경양식 서양식 음식점업,명동%20르빵LEPAIN,https://m.place.naver.com/restaurant/37520301
45781,봉추찜닭,닭/오리요리,찜닭전문점,한식 음식점업,명동,37.56648149,126.9887119,봉추찜닭 닭 오리요리 찜닭전문점 한식 음식점업,명동%20봉추찜닭,https://m.place.naver.com/restaurant/246544586
46360,제주본가,한식,한식/백반/한정식,한식 음식점업,명동,37.56644147,126.9798718,제주본가 한식 한식 백반 한정식 한식 음식점업,명동%20제주본가,https://m.place.naver.com/restaurant/18005272
46363,호호미역,한식,한식/백반/한정식,한식 음식점업,명동,37.55940605,126.9832048,호호미역 한식 한식 백반 한정식 한식 음식점업,명동%20호호미역,https://m.place.naver.com/restaurant/1280597625
46385,남원추어탕,한식,추어탕전문,한식 음식점업,명동,37.56747144,126.9843743,남원추어탕 한식 추어탕전문 한식 음식점업,명동%20남원추어탕,https://m.place.naver.com/restaurant/34362925
46620,타마고,일식/수산물,음식점-일식,일식 음식점업,명동,37.56614114,126.9868487,타마고 일식 수산물 음식점-일식 일식 음식점업,명동%20타마고,https://m.place.naver.com/restaurant/1081165758
46801,희죽희죽,한식,한식/백반/한정식,한식 음식점업,명동,37.56174439,126.9879383,희죽희죽 한식 한식 백반 한정식 한식 음식점업,명동%20희죽희죽,https://m.place.naver.com/restaurant/19754007
47073,아그라종로점,양식,기타전문서양음식점,서양식 음식점업,명동,37.56738787,126.9851339,아그라종로점 양식 기타전문서양음식점 서양식 음식점업,명동%20아그라종로점,https://m.place.naver.com/restaurant/19891208
47125,한양김밥,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56610742,126.983974,한양김밥 분식 라면김밥분식 분식 및 김밥 전문점,명동%20한양김밥,https://m.place.naver.com/restaurant/1752493923
47191,폴바셋을지로파인에비뉴점,한식,한식/백반/한정식,한식 음식점업,명동,37.56563848,126.9881233,폴바셋을지로파인에비뉴점 한식 한식 백반 한정식 한식 음식점업,명동%20폴바셋을지로파인에비뉴점,https://m.place.naver.com/restaurant/1382044467
47277,하워드커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56159633,126.9864349,하워드커피 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20하워드커피,https://m.place.naver.com/restaurant/1659950598
47323,써브웨이,패스트푸드,패스트푸드,그외 기타 음식점업,명동,37.56642443,126.9894144,써브웨이 패스트푸드 패스트푸드 그외 기타 음식점업,명동%20써브웨이,https://m.place.naver.com/restaurant/36830459
47329,명동역남산파리바게뜨,제과제빵떡케익,제과점,제과점업,명동,37.56054654,126.9848532,명동역남산파리바게뜨 제과제빵떡케익 제과점 제과점업,명동%20명동역남산파리바게뜨,https://m.place.naver.com/restaurant/33342821
47334,먹보대장,한식,한식/백반/한정식,한식 음식점업,명동,37.56610742,126.983974,먹보대장 한식 한식 백반 한정식 한식 음식점업,명동%20먹보대장,https://m.place.naver.com/restaurant/31729017
47643,위드미,한식,한식/백반/한정식,한식 음식점업,명동,37.55918735,126.9839661,위드미 한식 한식 백반 한정식 한식 음식점업,명동%20위드미,https://m.place.naver.com/restaurant/120463388
47895,지우,한식,갈비/삼겹살,한식 음식점업,명동,37.56004533,126.9852448,지우 한식 갈비 삼겹살 한식 음식점업,명동%20지우,https://m.place.naver.com/restaurant/13490546
48004,카레대장,일식/수산물,음식점-일식,일식 음식점업,명동,37.56563848,126.9881233,카레대장 일식 수산물 음식점-일식 일식 음식점업,명동%20카레대장,https://m.place.naver.com/restaurant/1887648759
48008,광장동가온,한식,한식/백반/한정식,한식 음식점업,명동,37.56366249,126.9867578,광장동가온 한식 한식 백반 한정식 한식 음식점업,명동%20광장동가온,https://m.place.naver.com/restaurant/100729934
