,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,star_point,blog_review_qty,blog_review_text
6983,민샌드위치,패스트푸드,샌드위치전문점,"피자, 햄버거, 샌드위치 및 유사 음식점업",명동,37.56610742,126.983974,"민샌드위치 패스트푸드 샌드위치전문점 피자, 햄버거, 샌드위치 및 유사 음식점업",명동%20민샌드위치,https://m.place.naver.com/restaurant/37232470,4.32,51,"[<span class=""WoYOw"">다양한 토양과 기후에서 자란 커피 원두는 그 속에 각기 다른 맛과 향의 비밀을 숨기고 있습니다. 생두를 로스팅하여 에스프레소를 만드는 과정은 단순하고 평범해 보이지만, 사실은 로스팅과 추출법 등의 미묘하고 작은 차이가 커피 맛을 변화시킵니다. 원두에 숨겨
진 이러한 커피의 비밀을 하나 하나 밝혀가면서 많은 사람들이 커피와 함께 소중한 순간을 즐기도록 해주는 것이 바로 할리스가 추구하는 ‘커피의 즐거움’입니다. 오늘도 할리스는 전세계의 커피 산지를 연구하고, 원두 본연의 맛을 살리기 위한 수많은 블랜딩을 개발
하는 등 다양한 노력을 지속하고 있습니다. 커피가 주는 아름다움을 보다 많은 고객들이 즐길 수 있도록, 매 순간 의미 있는 작은 차이를 만들어가는 할리스가 되겠습니다.</span>]"
7058,행화촌,중식,중국음식/중국집,중식 음식점업,명동,37.5621142,126.9816966,행화촌 중식 중국음식 중국집 중식 음식점업,명동%20행화촌,https://m.place.naver.com/restaurant/11727614,null,null,null
7068,한라담,한식,갈비/삼겹살,한식 음식점업,명동,37.56762308,126.9789728,한라담 한식 갈비 삼겹살 한식 음식점업,명동%20한라담,https://m.place.naver.com/restaurant/36720235,4.33,73,[]
7136,장금이전집,유흥주점,민속주점,기타 주점업,명동,37.56175456,126.988074,장금이전집 유흥주점 민속주점 기타 주점업,명동%20장금이전집,https://m.place.naver.com/restaurant/36342862,4.39,310,"[<span class=""WoYOw"">국내 최고의 청정지역 제주에서 길러낸,  가장 맛있는 돼지 한라담의 자체적인 숙성 비법으로 7일간의 에이징 숙성을 통해 돼지고기가 가지고 있는 고유의 감칠맛을 극대화 시킵니다.</span>]"
7147,원할머니,한식,족발/보쌈전문,한식 음식점업,명동,37.56423055,126.9836599,원할머니 한식 족발 보쌈전문 한식 음식점업,명동%20원할머니,https://m.place.naver.com/restaurant/1865398925,4.04,19,"[<span class=""WoYOw"">한국 전통 막걸리와 칵테일 그리고 다양한 전(지지미)와 함께 명동 늦밤을 즐겨보세요.(AM 11:00-AM 2:00)</span>]"
7235,NEXTSTATION,한식,한식/백반/한정식,한식 음식점업,명동,37.56266282,126.9836699,NEXTSTATION 한식 한식 백반 한정식 한식 음식점업,명동%20NEXTSTATION,https://m.place.naver.com/restaurant/731507924,4.33,48,"[<span class=""WoYOw"">세대를 이어가는 정성의 맛 1975년, 청계8가 황학동 끝자락에 작고 소박한 보쌈집으로 시작한 원할머니보쌈 그 시절, 김보배 할머니의 비법과 마음을 고스란히 3대에 걸쳐 정성의 맛으로 이어가고 있습니다 40여년 세월의 노하우로 삶아낸 담백한 보쌈
고기와 매일 아침 한잎 한잎 정성껏 말아 만든 보쌈김치로 건강한 식사를 제공할 것을 약속드리겠습니다</span>]"
7251,버거킹,패스트푸드,패스트푸드,그외 기타 음식점업,명동,37.56739833,126.9790324,버거킹 패스트푸드 패스트푸드 그외 기타 음식점업,명동%20버거킹,https://m.place.naver.com/restaurant/1982878054,null,null,null
7344,맛뜨리아,한식,한식/백반/한정식,한식 음식점업,명동,37.56451654,126.9865312,맛뜨리아 한식 한식 백반 한정식 한식 음식점업,명동%20맛뜨리아,https://m.place.naver.com/restaurant/1904451557,null,null,null
7345,우리집맛자랑,한식,한식/백반/한정식,한식 음식점업,명동,37.55908599,126.9858011,우리집맛자랑 한식 한식 백반 한정식 한식 음식점업,명동%20우리집맛자랑,https://m.place.naver.com/restaurant/20835269,4.3,16,[]
7353,김밤천국,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56108307,126.9833292,김밤천국 분식 라면김밥분식 분식 및 김밥 전문점,명동%20김밤천국,https://m.place.naver.com/restaurant/18029374,4.43,8,[]
